Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Venezuela,133.29,6.22,6.45,16.08,15.49,3025.03,0.03
Syria,60.83,2.71,3,36.93,33.29,662.83,0.15
Hong Kong,47.46,1.77,1.83,56.45,54.74,303.35,0.33
Cambodia,42.33,4.78,6.2,20.93,16.13,479.45,0.21
Kenya,31.63,2.15,4.07,46.56,24.54,472.19,0.21
Sri Lanka,31.14,2.88,2.36,34.76,42.32,478.77,0.21
China,29.06,1.71,1.91,58.34,52.38,231.68,0.43
Iran,25.11,4.92,5.43,20.33,18.41,515.47,0.19
Nepal,24.74,2.57,3.23,38.9,30.95,314.15,0.32
Philippines,24.6,3.44,3.95,29.04,25.35,237.12,0.42
Argentina,24.53,1.93,1.95,51.89,51.32,1041.24,0.1
Taiwan,23.69,1.38,1.5,72.61,66.6,142.46,0.7
Singapore,22.31,2.32,2.78,43.02,35.96,142.09,0.7
Thailand,22.26,3.22,3.72,31.02,26.9,185.69,0.54
Vietnam,21.36,4.23,5.55,23.65,18.02,228.46,0.44
Colombia,19.65,4.53,4.09,22.08,24.45,255.62,0.39
Serbia,18.94,3.09,3.42,32.33,29.26,135.81,0.74
Indonesia,18.88,4.77,5.08,20.95,19.67,220.84,0.45
Algeria,17.81,3,3.81,33.29,26.21,150.28,0.67
South Korea,17.37,1.48,1.79,67.35,55.91,121.78,0.82
Armenia,16.62,5.84,5.75,17.12,17.4,213.97,0.47
Brazil,16.41,4.11,4.32,24.32,23.16,188.61,0.53
Uruguay,16.34,3.97,4.05,25.21,24.7,165.87,0.6
Azerbaijan,16.24,5.25,5.43,19.05,18.4,165.33,0.6
Albania,15.49,4.2,5.3,23.82,18.86,125.86,0.79
Czech Republic,15.42,3.32,3.65,30.08,27.37,99.53,1
Uzbekistan,15.31,6.11,7.23,16.36,13.82,288.74,0.35
Peru,14.95,5.48,5.08,18.24,19.68,162.85,0.61
Chile,14.93,4.34,3.89,23.02,25.69,106.28,0.94
Hungary,14.77,3.8,4.27,26.31,23.4,116.46,0.86
Belarus,14.65,5.03,4.62,19.86,21.63,223.16,0.45
Georgia,14.21,7.63,8.51,13.11,11.75,196.1,0.51
Morocco,14.18,4.49,4.66,22.27,21.47,114.32,0.87
Croatia,13.73,3.41,3.55,29.28,28.2,101.72,0.98
Dominican Republic,13.48,6.69,6.49,14.95,15.4,183.43,0.55
Montenegro,13.23,4.57,4.37,21.9,22.9,117.5,0.85
Lebanon,13.23,5.06,5.81,19.77,17.21,122.53,0.82
Bangladesh,13.1,2.91,3.69,34.41,27.09,163.36,0.61
France,13.04,2.44,3.02,41,33.08,76.69,1.3
Egypt,13.01,5.57,6.23,17.96,16.04,193.89,0.52
Japan,13,2.11,2.56,47.39,39,75.15,1.33
Israel,12.83,3.2,3.1,31.21,32.25,90.29,1.11
Ecuador,12.7,5.53,5.4,18.08,18.52,150.75,0.66
Portugal,12.7,5.04,6.11,19.85,16.38,79.24,1.26
Panama,12.6,8.18,8.02,12.22,12.47,101.92,0.98
North Macedonia,12.6,4.01,4.02,24.93,24.85,106.11,0.94
Bosnia And Herzegovina,12.58,3.36,3.22,29.73,31.08,98.12,1.02
Malta,12.32,5.69,7.01,17.57,14.26,90.4,1.11
Kuwait,12.28,3.38,5.26,29.56,19.02,100.31,1
Ukraine,12.23,6.47,7.5,15.46,13.33,243.98,0.41
Pakistan,11.98,4.87,5.27,20.54,18.98,178.79,0.56
Luxembourg,11.61,3.52,4.01,28.37,24.92,69.7,1.43
Poland,11.38,4.46,4.94,22.45,20.24,82.23,1.22
India,11.38,2.99,3.59,33.46,27.84,126.19,0.79
Romania,11.33,4.4,4.52,22.73,22.11,94.22,1.06
Lithuania,10.9,4.09,4.33,24.43,23.09,68.53,1.46
Austria,10.88,3.28,3.59,30.53,27.83,66.86,1.5
Kazakhstan,10.86,6.47,5.98,15.45,16.72,176.94,0.57
Russia,10.77,5.89,5.95,16.99,16.82,129.82,0.77
Honduras,10.77,7.41,6.29,13.5,15.89,130.96,0.76
Kosovo (Disputed Territory),10.67,4.79,5.2,20.89,19.23,82.59,1.21
Mexico,10.67,5.87,5.78,17.03,17.3,132.75,0.75
Tunisia,10.63,5.03,5.16,19.89,19.37,109.19,0.92
Greece,10.6,4.22,4.09,23.68,24.45,81.95,1.22
Slovenia,10.49,3.83,3.91,26.12,25.59,71.56,1.4
Costa Rica,10.31,5.96,5.21,16.79,19.2,119.42,0.84
Slovakia,10.25,5.1,5.43,19.6,18.42,60.15,1.66
United Kingdom,10.09,3.52,4.11,28.45,24.33,68.71,1.46
Guatemala,10.08,7.12,7.51,14.05,13.31,98.73,1.01
Malaysia,9.94,3.67,3.94,27.27,25.41,75.44,1.33
Italy,9.71,3.86,4.78,25.92,20.94,59.11,1.69
Bolivia,9.69,6.87,6.94,14.56,14.4,100.09,1
Germany,9.38,3.22,3.54,31.01,28.25,56.33,1.78
Spain,9.37,4.64,5.21,21.55,19.2,58.71,1.7
Sweden,9.27,3.08,3.5,32.45,28.54,61.57,1.62
Iraq,9.12,5.9,7.38,16.94,13.55,99.66,1
Oman,9.08,3.56,4.98,28.07,20.09,71.33,1.4
Estonia,9.06,4.02,4.12,24.9,24.26,57.2,1.75
Latvia,8.85,4.62,5.3,21.66,18.88,56.43,1.77
Norway,8.77,3.64,4.09,27.47,24.45,57.3,1.75
Switzerland,8.68,2.97,3.28,33.71,30.49,50.83,1.97
Bahrain,8.63,7.46,7.77,13.41,12.88,77.22,1.29
New Zealand,8.52,4.25,4.58,23.51,21.86,65.54,1.53
Bulgaria,8.52,5.23,5.76,19.14,17.36,61.27,1.63
Jordan,8.42,6.43,7.09,15.56,14.1,83.64,1.2
Finland,8.35,3.3,4.28,30.34,23.37,48.1,2.08
Cyprus,8.2,6.17,6.31,16.2,15.85,55.94,1.79
Canada,7.97,4.29,5.28,23.33,18.94,56.41,1.77
Turkey,7.81,5.53,5.95,18.09,16.81,155.46,0.64
Australia,7.52,4.47,4.67,22.35,21.43,55.61,1.8
Netherlands,7.51,5.28,5.56,18.93,17.98,47.12,2.12
Ireland,7.49,6.64,7.06,15.05,14.17,52.5,1.9
Denmark,7.45,4.04,4.07,24.77,24.58,44.56,2.24
Belgium,6.91,4.92,5.08,20.33,19.67,41.27,2.42
Iceland,6.74,6.47,7.16,15.46,13.96,59.36,1.68
Trinidad And Tobago,6.1,11.36,7.61,8.8,13.15,54.47,1.84
Qatar,5.82,7.19,7.38,13.92,13.54,45.3,2.21
United Arab Emirates,5.29,9.05,9.09,11.05,11,39.23,2.55
Namibia,5.15,10.34,10.3,9.67,9.71,65.42,1.53
Palestine,4.38,7.16,7.53,13.97,13.28,46.46,2.15
South Africa,3.93,9.85,11.3,10.15,8.85,47.5,2.11
Puerto Rico,3.53,9.34,8.12,10.7,12.31,27.25,3.67
United States,3.52,10.36,11.23,9.65,8.9,26.35,3.79
Saudi Arabia,2.79,7.22,8.04,13.84,12.43,20.64,4.85
