Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Denmark,192.67,100.88,74.9,80,83,7.45,28.85,21.33,81.8
Switzerland,192.01,119.53,78.4,72.44,122.4,8.68,29.09,22.39,79.24
Finland,190.22,99.93,76.68,75.79,70.29,8.35,29.9,11.55,58.87
Australia,186.21,107.31,58.64,77.38,73.54,7.52,34.73,23.46,92.7
Netherlands,183.67,90.73,72.38,74.65,73.75,7.51,29.43,27.41,87.61
Austria,182.5,82.38,76.27,78.73,70.38,10.88,26.27,22.19,77.3
Iceland,181.75,79.44,76.64,65.92,100.48,6.74,20.1,16.21,68.81
New Zealand,181.02,92.66,59.07,73.81,72.53,8.52,31.1,23.4,95.46
Germany,179.78,102.36,65.19,73.32,65.26,9.38,30.98,29.03,83
Estonia,177.82,71.3,76.86,72.67,50.93,9.06,24.53,19.81,64.28
Sweden,175.95,101.73,52.93,69.23,69.85,9.27,30.49,18.09,73.97
Norway,175.19,88.38,64.57,74.36,101.43,8.77,26.99,20.35,71.37
Slovenia,172.15,66.31,78.93,64.58,53.43,10.49,27.3,24.06,77.56
United States,172.11,109.52,52.8,69.27,71.05,3.52,32.89,36.88,77.54
Spain,169.82,72.03,68.04,78.88,53.77,9.37,29.1,39.99,94.19
Japan,167.99,87.28,79.34,81.14,83.35,13,39.15,39.59,84.79
Oman,167.09,80.97,79.21,58.15,49.28,9.08,22.8,37.74,67.22
Canada,163.47,95.09,60.33,71.58,67.62,7.97,33.87,27.83,50.57
Portugal,162.91,49.43,70.37,71.88,49.52,12.7,30,30.89,97.31
United Kingdom,162.71,91.73,56.29,74.46,67.28,10.09,34.53,40.56,87.62
Qatar,162.29,111.69,88.14,73.3,64.04,5.82,29.72,61.06,36.03
Lithuania,159.42,57.85,66.94,69.49,44.28,10.9,26.08,28.8,67.76
Croatia,159.01,50.42,75.29,62.68,49.7,13.73,29.11,30.46,89.05
United Arab Emirates,156.67,91.58,84.3,67.04,61.98,5.29,36.85,51.15,45.23
Czech Republic,156.24,62.82,74.48,74.62,46.15,15.42,29.65,40.23,77.13
France,153.95,80.36,53.21,79.99,74.14,13.04,34.76,43.56,90.25
Ireland,153.53,80.88,54.57,51.89,75.91,7.49,37.68,33.99,89.13
Belgium,153.47,86.28,56.02,74.34,71.78,6.91,36.15,52.94,85.99
Slovakia,152.53,56.94,70.78,60.02,44.46,10.25,29.11,39.66,78.13
Saudi Arabia,150.56,100,73.82,59.11,48.34,2.79,28.61,65.09,45.98
Latvia,150,52.48,63.05,62.91,47.94,8.85,32.89,33.73,74.7
Israel,149.94,78.09,70.4,73.29,81.15,12.83,35.91,57.25,93.78
Cyprus,147.93,57.41,69.99,51.75,57.93,8.2,23.95,53.55,92.8
Singapore,144.39,88.96,69.43,70.84,81.1,22.31,41.31,33.48,57.45
Taiwan,143.23,65.67,84.35,86.71,61.37,23.69,31.93,63.35,84.38
Poland,141.83,59.61,71.5,61.01,40.04,11.38,31.72,54.46,76.14
Italy,140.76,65.59,55.74,66.59,67.26,9.71,34.42,55.63,92.27
South Korea,139.02,85.21,71.98,81.97,78.18,17.37,39.57,62.48,68.39
Belarus,134.83,37,75.01,59.04,34.7,14.65,30.68,43.63,64.37
Greece,133.07,43.68,59.68,56.21,55.67,10.6,33.84,52.55,94.18
Romania,132.44,48.86,72.36,55.06,35.31,11.33,34.75,58.42,77.62
South Africa,131.97,73.61,22.51,64.14,42.87,3.93,39.43,57.3,95.25
Bulgaria,129.8,49.37,61.5,55.4,36.7,8.52,29.39,65.33,82.76
Hungary,128.16,47.55,64.92,47.8,40.85,14.77,35.78,48.29,79.48
Turkey,127.1,40.85,60.51,69.8,34.69,7.81,44.65,67.35,93.26
Uruguay,125.98,37.46,46.19,66.28,51.04,16.34,39.89,44.84,98.04
Ecuador,125.14,36.08,49.1,70.59,40.98,12.7,37.55,57,94.51
Bosnia And Herzegovina,121.89,41.83,56.97,52.26,35.97,12.58,26.67,62.33,80.48
Chile,119.76,42.5,54.77,65.44,43.62,14.93,35.44,65.78,90.21
Mexico,118.55,41.81,46.03,70.12,35.72,10.67,39.39,66.1,86.29
Malaysia,118.44,64.49,41.16,68.1,39.12,9.94,37.03,63.18,57.92
Serbia,116.3,36.72,62.59,51.27,35.72,18.94,30.43,60.32,83.23
Georgia,115.95,24.88,79.79,51.24,28.48,14.21,36.02,71.09,84.2
Kuwait,115.75,85.59,65.25,56.21,50.37,12.28,34.44,68.69,20.22
Argentina,115.31,47.22,38.23,69.25,32.95,24.53,43.08,50.67,98.28
Jordan,112.4,34.88,59.17,64.6,53.67,8.42,42.03,77.78,89.05
North Macedonia,110.46,37.15,61.33,56.38,31.59,12.6,27.61,80.23,76.3
India,108.63,54.3,56.68,67.13,24.58,11.38,46.99,78.87,64.87
Panama,108.36,34.23,52.81,59.93,54.16,12.6,36.48,63.09,67.84
Lebanon,106.56,44.47,56.64,64.38,60.5,13.23,37.38,88.37,94.74
Colombia,105.83,31.12,45.21,67.24,30.66,19.65,47.49,62.83,96.69
Brazil,105.65,32.81,31.12,56.29,40.22,16.41,41.7,54.98,97.16
Morocco,105.46,35.25,51.31,45.72,34.32,14.18,36.89,70.64,91.7
Pakistan,105.44,30.57,55.92,60.59,21.98,11.98,38.56,74.25,71.93
Ukraine,104.77,31.8,51.15,52.33,33.18,12.23,38.65,65.08,71.42
China,102.81,60.88,68.17,64.48,40.04,29.06,41.81,80.77,79.19
Russia,102.31,38.94,58.88,57.59,39.21,10.77,45.3,62.79,40.36
Thailand,101.88,35.45,59.52,77.95,49.77,22.26,38.23,75.07,69.45
Hong Kong,99.05,65.32,79.3,66.08,77.22,47.46,41.46,67.69,83.64
Indonesia,97.47,25.05,54.16,60.48,37.27,18.88,43.11,66.56,74.15
Kazakhstan,88.31,38.36,37.98,50.7,30.64,10.86,31.08,75.15,39.78
Vietnam,87.48,28.14,54.65,57.7,38.34,21.36,30.17,86.47,71.24
Egypt,86.54,22.41,53.08,45.84,29.54,13.01,49.78,85.65,91.98
Peru,85.46,33.95,31.85,56.15,38.65,14.95,48.33,84.13,97.69
Philippines,85.37,23.48,57.84,67.47,37.63,24.6,44.63,74.28,60.81
Sri Lanka,85.16,24.45,59.78,72.53,31.61,31.14,59.01,59.14,59.11
Iran,74.14,22.69,50.75,51.7,39.01,25.11,48.01,77.45,70.99
Kenya,70.56,27.32,38.34,55.59,40.21,31.63,56.65,76.6,99.79
Bangladesh,70.03,33.21,36.06,42.8,32.25,13.1,56.73,86.21,71.29
Nigeria,55.65,13.52,36.23,51.59,31,16.7,61.08,87.63,60.75
